task,model,TP,FP,TN,FN,total,accuracy,precision,recall,f1,specificity
QA,llama3_1_8b,3483,833,167,517,5000,0.7300,0.8070,0.8708,0.8377,0.1670
QA,mistral_nemo,35,933,67,2,1037,0.0984,0.0362,0.9459,0.0697,0.0670
QA,qwen2_5_32b,3070,744,256,930,5000,0.6652,0.8049,0.7675,0.7858,0.2560
QA,deepseek_r1_14b,3336,749,249,656,4990,0.7184,0.8166,0.8357,0.8260,0.2495
QA,gemma2_27b,2457,505,495,1543,5000,0.5904,0.8295,0.6142,0.7058,0.4950
QA,tigerllm_9b,2458,218,782,1530,4988,0.6496,0.9185,0.6163,0.7377,0.7820
QA,gpt4_1_mini,2614,389,611,1386,5000,0.6450,0.8705,0.6535,0.7465,0.6110
Summarization,llama3_1_8b,2345,649,351,655,4000,0.6740,0.7832,0.7817,0.7824,0.3510
Summarization,mistral_nemo,2577,454,546,423,4000,0.7808,0.8502,0.8590,0.8546,0.5460
Summarization,qwen2_5_32b,2776,336,664,224,4000,0.8600,0.8920,0.9253,0.9084,0.6640
Summarization,deepseek_r1_14b,2728,207,793,272,4000,0.8802,0.9295,0.9093,0.9193,0.7930
Summarization,gemma2_27b,2669,190,810,331,4000,0.8698,0.9335,0.8897,0.9111,0.8100
Summarization,tigerllm_9b,2443,174,826,557,4000,0.8173,0.9335,0.8143,0.8699,0.8260
Summarization,gpt4_1_mini,2646,63,937,354,4000,0.8958,0.9767,0.8820,0.9270,0.9370
Reasoning,llama3_1_8b,244,287,713,756,2000,0.4785,0.4595,0.2440,0.3187,0.7130
Reasoning,mistral_nemo,2,1,999,998,2000,0.5005,0.6667,0.0020,0.0040,0.9990
Reasoning,qwen2_5_32b,509,87,913,491,2000,0.7110,0.8540,0.5090,0.6378,0.9130
Reasoning,deepseek_r1_14b,803,244,756,197,2000,0.7795,0.7670,0.8030,0.7846,0.7560
Reasoning,gemma2_27b,177,36,964,823,2000,0.5705,0.8310,0.1770,0.2918,0.9640
Reasoning,tigerllm_9b,480,84,916,520,2000,0.6980,0.8511,0.4800,0.6138,0.9160
Reasoning,gpt4_1_mini,747,116,884,253,2000,0.8155,0.8656,0.7470,0.8019,0.8840
