id,in_bertscore_bottom1000,in_nli_bottom1000
352,1,1
25770,0,0
18164,1,1
20604,0,1
11567,1,1
13645,0,0
11657,1,1
6956,0,1
20093,1,0
19063,1,1
14259,1,0
15726,1,0
16225,0,1
15181,1,0
13389,1,0
6292,0,1
14261,0,1
12813,0,0
21399,0,1
21314,1,0
18702,0,1
22448,0,1
19701,1,1
4918,1,0
23775,0,1
2700,0,1
11581,0,1
11618,0,0
15065,0,1
19824,0,0
5795,1,1
5369,1,1
22432,1,1
20861,1,1
13724,0,0
10720,1,0
20293,1,1
5210,1,0
12621,1,1
15064,0,1
11882,1,1
24172,0,0
4827,0,1
18246,1,1
14049,0,1
13814,0,0
11010,1,0
7390,1,1
6846,1,0
17771,0,1
7001,0,1
23211,0,1
17534,1,1
11748,1,0
6080,0,0
22321,1,0
12126,1,1
11055,1,0
26456,1,1
21112,0,1
8217,0,0
23497,0,0
16577,1,1
25506,1,0
5319,0,0
19098,1,1
19963,1,1
24048,1,1
17168,0,1
16942,1,1
4839,0,1
11254,1,0
7424,1,1
18838,0,1
14748,1,0
13954,0,1
3174,1,0
21972,1,0
17546,1,0
13269,0,1
11643,0,1
15636,0,0
4968,0,1
20602,1,0
6585,0,1
24028,0,0
21456,0,0
17474,1,1
14287,1,1
17420,1,1
26382,1,0
13788,0,0
12578,0,0
15948,0,1
1238,1,0
12727,1,0
21511,1,0
19839,0,1
17277,0,1
19037,1,0
25048,1,0
25490,0,0
7150,0,0
24801,0,0
13026,0,0
13005,1,0
23596,0,1
17290,1,0
3232,1,0
11620,0,0
13168,0,1
6198,0,0
2301,0,0
24210,0,1
2204,0,0
4392,0,1
2083,0,0
6546,0,0
19174,1,0
2636,0,1
18153,0,1
19472,1,1
16370,1,0
15523,0,1
17506,1,1
19753,1,0
26207,0,1
21482,1,0
21514,0,0
15271,0,1
13369,1,0
8368,0,0
22348,0,0
11058,1,1
25563,1,1
24972,0,1
25900,1,1
25309,0,1
16614,0,1
5529,0,1
4136,1,0
23951,1,0
17064,1,0
14790,1,0
14786,0,0
20071,0,1
24422,0,1
312,1,1
22363,0,1
21218,1,0
24350,1,0
16787,0,1
21162,1,0
15737,1,0
19687,0,1
24794,1,1
26176,0,0
24677,1,0
17538,0,1
25850,1,1
12221,0,1
3235,1,1
5844,1,0
15002,1,1
4733,0,1
10777,1,1
11922,0,0
24836,0,0
18782,0,0
7645,0,0
20563,0,0
781,1,1
23720,1,0
16126,0,1
18626,0,0
2496,1,0
15679,1,1
23169,1,1
12930,1,1
17149,0,1
18272,1,0
20698,1,1
5557,1,0
5636,0,1
5468,1,1
2961,1,1
25344,0,1
11560,0,1
11283,1,1
1598,0,0
11733,1,0
12619,0,0
11485,1,0
19096,1,1
4028,1,0
20399,1,0
15682,1,0
26089,1,0
3047,1,0
24311,1,1
21942,0,1
16096,0,1
13932,0,0
24891,0,0
17134,1,1
15355,1,1
23748,1,0
2113,1,0
6803,0,0
7819,1,1
5832,0,1
24853,1,0
8082,1,0
24093,1,0
20960,0,0
14825,1,1
17987,1,0
1577,1,0
16821,1,0
18244,1,1
26311,1,0
7267,0,1
11833,1,1
25908,0,1
16444,1,1
20409,1,1
4593,0,0
4309,0,0
7324,1,0
23788,0,0
13493,1,0
16360,0,1
24946,1,1
26292,0,1
18851,1,0
13784,1,1
25546,0,1
17133,1,0
20872,0,1
15466,0,1
6718,0,0
19156,1,1
5485,0,1
7759,0,0
4302,1,0
7141,1,0
20081,0,1
17662,1,1
12736,1,0
23007,0,1
14999,1,0
11815,1,1
4614,0,1
20392,0,0
23095,1,0
24746,1,0
20587,0,1
14947,1,0
6159,1,0
7969,1,0
8206,1,1
2364,1,0
3463,1,1
2690,1,0
2101,0,0
24136,0,0
291,0,0
7821,1,1
17443,1,0
11457,1,1
10729,1,1
24167,0,1
15062,0,1
25870,1,1
19893,0,1
5025,0,0
13232,1,1
20099,0,0
13163,0,0
24503,0,0
5268,0,1
18159,1,0
23029,0,1
13053,0,0
16139,0,0
5320,1,1
13463,0,1
14788,1,0
5201,0,0
1508,0,1
18138,0,1
20539,0,0
17817,0,1
13701,0,1
12570,0,0
25429,1,0
6309,0,0
2365,1,1
25994,1,1
26027,1,0
18213,1,1
17058,1,0
8121,1,1
14055,1,0
7874,0,0
7647,1,1
22126,0,0
16209,1,1
12824,0,0
14762,1,1
23793,1,0
26321,0,1
11532,0,0
21158,1,0
21834,1,1
17983,1,0
24074,1,0
21197,1,0
15576,1,1
18688,1,1
6616,0,0
13978,1,0
25430,0,0
19676,1,1
21849,1,0
6716,1,0
4799,0,1
23675,1,0
1471,1,1
6811,0,1
17039,1,0
25172,0,1
5853,1,1
8126,1,1
7360,0,1
4124,1,1
6661,1,0
15003,1,1
16803,1,0
14117,0,1
25513,1,0
18861,1,1
13901,1,0
16788,1,1
15673,0,0
17077,1,1
23317,1,1
6288,1,1
11329,0,0
14920,1,0
20119,1,1
17312,1,0
6064,1,1
16807,1,0
20337,0,0
15931,1,0
20711,0,0
580,1,1
12195,0,0
1770,1,0
21547,0,1
12246,1,0
21736,1,0
17306,1,1
12783,0,1
21867,0,1
23012,1,0
3421,1,1
5873,0,1
24065,0,1
2921,1,1
13710,1,0
15767,1,1
15941,1,0
3854,0,1
19068,1,0
17994,1,1
5449,1,1
15574,1,1
15923,1,0
13976,1,1
10631,0,0
16667,1,0
2775,0,1
12845,0,1
22278,0,0
11850,0,1
13467,1,1
20566,0,0
2252,1,1
4940,1,0
2857,1,1
1199,0,0
4582,1,1
6990,0,0
24277,1,0
15914,1,1
25842,0,1
2491,0,1
23823,0,0
11701,0,1
4375,0,0
6345,0,0
6932,1,1
16480,0,1
20897,0,0
13550,1,1
16383,0,1
13050,0,1
26007,0,1
16469,0,1
3830,0,1
16336,0,1
17451,1,1
4303,1,0
19580,1,1
15425,1,0
16234,0,0
16496,0,1
16050,1,1
20204,0,1
22083,0,1
5818,1,0
15874,1,0
19335,1,1
24186,1,1
12786,1,0
16384,1,1
7441,0,1
20737,0,0
24935,1,1
12487,1,1
7378,0,0
3563,1,0
12715,0,1
20372,1,1
17680,1,1
26189,0,1
10591,1,0
16565,0,0
24248,1,0
8162,1,0
11695,0,1
1563,1,0
21751,1,0
24846,0,0
12408,1,1
24968,0,0
8066,0,0
22026,1,0
18267,1,0
14164,0,1
15826,0,0
3134,1,1
20744,0,1
16724,0,1
2811,1,0
3319,1,0
13004,0,1
17431,1,1
21261,0,0
3995,1,0
12595,1,0
12505,1,0
1961,1,1
2990,0,0
11249,0,1
6881,1,0
24951,1,1
14844,1,0
5205,0,1
6202,1,0
3815,1,0
5113,0,1
25379,1,1
13223,1,1
13924,1,0
2011,1,0
16188,1,1
25483,0,0
12363,1,1
10665,0,0
11481,1,1
5998,1,1
5180,1,1
12726,1,0
10523,1,1
24268,0,0
12465,1,0
16363,1,1
11195,0,1
11189,1,1
7285,1,0
6878,1,1
24896,1,1
6998,1,1
7057,1,1
4962,1,1
12051,1,0
18788,1,1
23711,0,1
22104,1,0
7598,0,1
14781,1,1
14381,0,0
13248,0,0
1212,0,0
4604,0,1
4048,0,1
15830,0,0
12092,0,0
4308,0,1
21902,0,1
7179,1,0
7638,0,1
7250,1,0
6013,0,1
17296,0,1
8152,0,0
8296,0,0
23722,1,0
551,1,1
22516,1,0
23993,0,0
11962,0,0
17284,0,1
16909,1,0
15635,0,1
13515,0,0
24636,1,0
7044,0,0
18862,0,1
20516,0,1
6606,1,1
8124,0,1
1830,1,0
12731,1,1
14022,1,0
17641,1,0
12330,0,1
25642,1,1
7875,0,0
18083,0,1
16443,1,1
1739,0,0
11409,0,1
5344,1,0
14188,0,1
13995,0,0
17047,0,0
7588,0,1
12934,0,0
6610,0,1
20376,0,0
18708,0,1
4829,1,1
19347,0,0
17567,1,1
8290,1,0
14742,1,0
19835,0,1
20973,1,0
23508,1,1
22995,1,1
2718,0,1
7482,1,1
11923,0,1
24906,0,0
19870,0,0
19958,0,1
21651,0,0
20446,1,1
4807,1,0
11927,1,1
20483,0,1
2460,0,1
16583,0,0
14996,0,1
19705,0,0
22556,1,0
6830,0,1
8059,0,1
1334,1,1
21276,1,0
13428,0,0
3450,0,1
16065,1,1
21463,0,1
19967,1,0
20665,1,0
6888,0,1
6520,0,1
11257,0,1
6586,0,0
24997,1,1
6293,1,0
2703,0,1
4193,0,0
15569,0,1
26001,0,0
13993,1,0
23066,0,1
23628,0,0
23992,1,1
10491,1,1
20460,1,0
15435,1,1
7489,0,1
13556,1,0
15316,0,0
11926,1,0
16664,0,0
10617,1,1
20914,0,0
15165,0,0
18260,1,1
2199,1,0
23072,1,0
8182,0,1
17094,1,1
6599,1,1
3913,0,1
13911,0,1
13834,1,1
15285,0,1
7822,1,1
24383,0,0
5528,0,1
12135,0,1
24068,1,1
25361,1,0
16121,0,0
15010,1,0
12274,0,0
10811,1,0
23466,0,1
17324,0,0
24607,0,1
15773,1,1
16230,0,0
14927,0,1
19561,0,1
6458,0,0
1562,0,1
11933,0,0
19072,1,1
20350,0,0
6783,1,0
26259,1,0
10888,0,1
19972,0,1
13229,0,0
24819,1,1
7893,1,1
16758,1,0
13874,0,1
19730,0,0
10866,0,1
21223,0,1
14317,0,0
10531,0,1
22014,0,0
20522,0,0
20637,1,0
8157,1,0
19521,1,1
19931,0,1
13077,0,0
10965,1,0
23040,1,1
18739,0,0
20538,1,0
15118,0,1
19638,1,1
19566,0,0
24675,1,0
25626,1,1
6260,1,1
23659,1,1
21871,1,1
26274,1,0
13912,1,0
12276,1,0
820,1,0
13910,1,1
1988,1,0
20885,1,0
24278,1,0
13339,1,0
23061,0,1
12279,0,0
1997,0,0
12278,0,0
1892,1,0
8317,1,0
22560,1,1
23139,0,1
19356,0,0
16605,1,0
19288,1,1
23666,0,1
12060,0,0
6840,1,0
21333,0,1
6886,0,1
14775,0,1
7535,1,0
24175,1,0
21913,1,1
14247,0,0
26150,1,0
7988,1,0
21125,0,1
7999,1,1
6084,1,1
12776,1,0
20038,1,1
18322,1,1
18742,0,1
14010,0,0
7626,1,1
23367,1,1
16920,1,1
4679,1,1
22111,0,1
21367,0,0
23293,0,0
6223,1,0
21349,0,0
2362,1,1
16617,1,0
2238,1,1
18163,0,1
17032,1,1
15566,1,1
8331,0,0
17635,0,1
18077,1,0
6163,1,0
24413,1,0
19806,1,1
20269,0,1
6247,1,0
11343,1,1
18958,0,0
12660,0,1
17808,1,0
7611,1,0
7984,1,1
2175,1,1
5732,1,0
11389,1,1
1372,0,0
17148,0,1
19341,1,1
20687,0,0
22118,1,0
6905,0,0
20137,0,0
17114,0,1
13404,0,1
23119,0,0
15582,1,0
24471,1,0
6536,0,1
18008,0,1
24336,1,0
25433,1,0
7072,1,1
17725,1,0
18846,1,0
6079,0,0
26035,0,0
12699,0,0
14236,1,1
5539,0,1
6992,1,1
15324,0,1
21584,1,0
12076,1,0
7379,1,1
26283,1,0
11110,1,0
2598,0,0
16809,1,1
1773,1,1
12563,0,1
21697,1,1
15091,1,1
